Name,Business,Location,Type,Loc in Market,Full Address (probably),Latitude,Longitude
Alta Moda Salon,District Business,In Detroit,Unspecified,2123 Gratiot,"2123 Gratiot, Detroit, MI 48207",42.349799,-83.034359
Ma Cohen's,District Business,In Detroit,Unspecified,2127 Brewster,"2127 Brewster, Detroit, MI 48207",42.351475,-83.035024
Germack Pistachio Company Production Facility,District Business,In Detroit,Other,2140 Wilkins,"2140 Wilkins, Detroit, MI 48207",42.351652,-83.03472
Etna Supply,District Business,In Detroit,Unspecified,2158 Gratiot,"2158 Gratiot, Detroit, MI 48207",42.349962,-83.033438
Hunt Street Station,District Business,In Detroit,Unspecified,2200 Hunt,"2200 Hunt, Detroit, MI 48207",42.350398,-83.03285
People's Restaurant Equipment Co.,District Business,In Detroit,Unspecified,2209 Gratiot,"2209 Gratiot, Detroit, MI 48207",42.351178,-83.033306
Can Art Handworks. LLC,District Business,In Detroit,Art,2264 Wilkins,"2264 Wilkins, Detroit, MI 48207",42.35244,-83.032951
Comerica Bank,District Business,In Detroit,Unspecified,2281 Gratiot,"2281 Gratiot, Detroit, MI 48207",42.35196,-83.032853
Gardella Furniture,District Business,In Detroit,Unspecified,2306 Gratiot,"2306 Gratiot, Detroit, MI 48207",42.351921,-83.032044
Billy K's Foodservice,District Business,In Detroit,Unspecified,2348 Russell St,"2348 Russell St, Detroit, MI 48207",42.344576,-83.038944
Shops on Top,District Business,In Detroit,Unspecified,2362 Russell,"2362 Russell, Detroit, MI 48207",42.34473,-83.039033
Standard Wonder,District Business,In Detroit,Unspecified,2362 Russell,"2362 Russell, Detroit, MI 48207",42.34473,-83.039033
Truscott Rossman,District Business,In Detroit,Unspecified,2362 Russell,"2362 Russell, Detroit, MI 48207",42.34473,-83.039033
Cost Plus Wine Warehouse,District Business,In Detroit,Unspecified,2448 Market,"2448 Market, Detroit, MI 48207",42.345963,-83.038534
Supino Pizzeria,District Business,In Detroit,Dine,2457 Russell,"2457 Russell, Detroit, MI 48207",42.345377,-83.040247
Vivio's Food & Spirits,District Business,In Detroit,Dine,2460 Market,"2460 Market, Detroit, MI 48207",42.346093,-83.03874
Gettees,District Business,In Detroit,Unspecified,2461 Russell St,"2461 Russell St, Detroit, MI 48207",42.345377,-83.040247
Detroit City Distillery,District Business,In Detroit,Dine,2462 Riopelle St,"2462 Riopelle St, Detroit, MI 48207",42.346378,-83.0381
District 5,District Business,In Detroit,Unspecified,2463 Riopelle,"2463 Riopelle, Detroit, MI 48207",42.346172,-83.03852
Starlite Barbershop,District Business,In Detroit,Unspecified,2464 Riopelle,"2464 Riopelle, Detroit, MI 48207",42.346384,-83.038095
Midnight Temple,District Business,In Detroit,Dine,2466 Riopelle,"2466 Riopelle, Detroit, MI 48207",42.346384,-83.038095
Devries & Co. 1887,District Business,In Detroit,Unspecified,2468 Market,"2468 Market, Detroit, MI 48207",42.34622,-83.03868
Zeff's Coney Island,District Business,In Detroit,Dine,2469 Russell St,"2469 Russell St, Detroit, MI 48207",42.345377,-83.040247
